Chinese,English
綦江区,Qijiang
苏州,Suzhou
安庆,Anqing
赤峰,Chifeng
烟台,Yantai
吐鲁番,Tulufan
邯郸市,Handan
乌鲁木齐,Wulumuqi
毕节,Bijie
西双版纳州,Xishuangbanna
未知地区,Unknown
宿松,Susong
奉贤,Fengxian
金昌,Jinchang
钦州,Qinzhou
营口,Yingkou
外地来津人员,Non_Residence
五家渠,Wujiaqu
东方市,Dongfang
恩施州,Enshizhou
汕头,Shantou
宁河,Ninghe
无锡,Wuxi
吉安,Ji_an
邵阳,Shaoyang
北海,Beihai
丽江市,Lijiang
延庆区,Yanqing
大兴区,Daxing
密云区,Miyun
鹰潭,Yingtan
黔东南州,Qiandongnan
玉林,Yulin
待明确地区,Unknown
舟山,Zhoushan
固原,Guyuan
陇南,Longnan
开封,Kaifeng
第八师石河子市,Shihezi
门头沟,Mentougou
璧山区,Bishan
崇明区,Congming
渭南,Weinan
张掖,Zhangye
邯郸,Handan
拉萨,Lasa
大兴安岭,Daxing_anling
河源,Heyuan
虹口,Hongkou
哈尔滨,Ha_erbin
淮安,Huaian
乌兰察布,Wulanchabu
安康,Ankang
恩施,Enshi
秀山,Xiushan
四平市,Siping
宿迁,Suqian
攀枝花,Panzhihua
渝中区,Yuzhong
韩城,Hancheng
淮北,Huaibei
荣昌区,Rongchang
成都,Chengdu
宜春,Yichun
绵阳,Mianyang
呼伦贝尔牙克石,Hulunbeieryakeshi
长春,Changchun
静安区,Jing_an
益阳,Yiyang
漯河,Luohe
荆州,Jingzhou
湘潭,Xiangtan
黔南州,Qiannanzhou
西宁,Xining
潮州,Chaozhou
大连,Dalian
南京,Nanjing
石景山,Shijingshan
宁夏回族自治区,Ningxia
张家界,Zhangjiajie
邢台,Xingtai
九江,Jiujiang
惠州,Huizhou
萍乡,Pingxiang
广东省,Guangdong
白银,Baiyin
徐州,Xuzhou
大同,Datong
渝北区,Yubei
朔州,Suozhou
吕梁,Lvliang
桂林,Guilin
江津区,Jiangjin
沙坪坝区,Shapingba
河北省,Hebei
彭水县,Pengshui
青浦区,Qingpu
吴忠,Wuzhong
清远,Qingyuan
湖北省,Hubei
海淀,Haidian
湖南省,Hunan
牡丹江,Mudanjiang
阿克苏地区,Akesu
兵团第十二师,The_Twelfth_Battalion
巴中,Bazhong
鞍山,Anshan
安阳市,Anyang
长宁,Changning
宜宾,Yibin
白城,Baicheng
达州,Dazhou
神农架林区,Shennongjia
临汾,Linfen
丽江,Lijiang
丹东,Dandong
长寿区,Changshou
静安,Jing_an
辽源,Liaoyuan
昌吉,Jichang
廊坊,Langfang
大足区,Dazu
四川省,Sichuan
铜陵,Tongling
金山,Jinshan
昭通,Shaotong
浙江省,Zhejiang
濮阳,Puyang
梅河口,Meihekou
大庆,Daqing
江北区,Hebeiqu
宝坻区,Baodiqu
武汉,Wuhan
安阳,Anyang
滨海新区,Binhaixinqu
唐山,Tangshan
外地来粤人员,Non_Residence
淄博市,Zibo
海北州,Hibeizhou
包头,Baotou
琼中,Qiongzhong
衢州,Quzhou
泰安,Taian
三亚,Sanya
朝阳区,Chaoyangqu
黔西南州,Qianxinanzhou
石家庄,Shijiazhuang
乐山,Leshan
鹤壁,Hebi
双鸭山,Shuangyashan
呼和浩特,Huhehaote
池州,Chizhou
齐齐哈尔,Qiqihaer
新疆维吾尔自治区,Xinjiang
贵港,Guigang
洛阳,Luoyang
海南省,Henan
遵义,Zunyi
固始县,Gushixian
宁德,Ningde
锡林郭勒盟,Xilinguole_union
保亭,Baoting
秦皇岛,Qinhuangdao
南昌,Nanchang
厦门,Xiamen
昌吉州,Changjizhou
嘉定区,Jiadingqu
平顶山,Pingdingshan
常州,Changzhou
铜川,Tongchuan
外地来沪人员,Non_Residence
郑州,Zhengzhou
六安,Liuan
广州,Guangzhou
济源,Jiyuan
未明确,Unknown
鄂尔多斯东胜区,Eerduosi_dongshengqu
石柱县,Shizhuxian
新余,Xinyu
宣城,Xuancheng
来宾,Laibin
和平区,Hepingqu
文昌,Wenchang
庆阳,Qingyang
酉阳县,Youyang
永川区,Yongchuan
上饶,Shangrao
金昌市,Jinchang
三明,Sanming
湖州,Huzhou
儋州,Danzhou
中山,Zhongshan
葫芦岛,Huludao
九龙坡区,Jiulongpoqu
漳州,Tanzhou
石嘴山,Shizuoshan
外地来穗人员,Non_Residence
鸡西,Jixi
岳阳,Yueyang
待明确,Unknown
黄冈,Huanggang
周口,Zhoukou
盘锦,Panjin
永城,Yongcheng
常德,Changde
东城,Dongcheng
朔州市,Suozhou
西城,Xicheng
日照,Rizhao
云南省,Yunnan
城口,Chengkou
防城港,Fangchenggang
梧州,Wuzhou
甘南,Ganna
许昌,Xuchang
胡杨河,Huyanghe
山西省,Shanxi
莆田,Putian
通州区,Tongzhou
甘肃省,Gansu
佛山,Foshan
三门峡,Sanmenxia
保定,Baoding
津南区,Jinnanqu
邓州,Dengzhou
昌平,Changping
闵行,Minhang
浦东区,Pudongqu
黄山,Huangshan
武隆区,Wulongqu
长垣,Changyuan
乐东,Ledong
韶关,Shaoguan
河源市,Heyuan
通辽,Tongliao
南平,Nanping
涪陵区,Fulingqu
聊城,Liaocheng
巫溪,Wuxi
福建省,Fujian
随州,Suizhou
公主岭,Gongzhuling
澄迈县,Chengmai
辽阳,Liaoyang
孝感,Xiaogan
仙桃,Xiantao
商洛,Shangluo
临夏,Linxia
巩义,Gongyi
山东省,Shandong
抚州,Fu3zhou
顺义,shunyi
襄阳,Xiangyang
海口,Haikou
天门,tianmen
济南,Ji_nan
内江,Neijiang
济宁,Ji_ning
鄂尔多斯,Eerduosi
威海,Weihai
吉林市,Jilin
信阳,Xinyang
黔江区,Qianjiangqu
泉州,Quanzhou
呼伦贝尔牙克石市,Hulunbeieryakeshi
福州,Fuzhou
本溪,Benxi
石景山区,Shijingshanqu
奉节,Fengjie
酉阳,Youyang
凉山州,Liangshanzhou
未知,Unknown
南宁,Nanning
深圳,Shenzhen
巴州,Bazhou
柳州,Liuzhou
曲靖,Qujing
蚌埠,Bengbu
伊犁州,Yilizhou
阜阳,Fuyang
昌江,Changjiang
陕西省,Shanxi
临高县,Lingao
贵州省,Guizou
红桥区,Hongqiaoqu
荆门,Jingmen
商丘,Shangqiu
阿坝州,Ebazhou
通化,Tonghua
镇江,Zhenjiang
通辽市经济开发区,Liaotong
绥化,Suihua
鹤岗,Hegang
东丽区,Dongliqu
第九师,The_Ninth_Battlion
朝阳,Zhaoyang
第八师石河子,The_Twelfth_Battalion
汕尾,Shanwei
杨浦,Yangpu
中卫,Zhongwei
陵水县,Lingshui
嘉兴,Jiaxing
南通,Nantong
云阳县,Yunyang
巫溪县,Wuxi
运城,Yuncheng
雅安,Yaan
延边,Yanbian
商丘（含永城）,Shangqiu
临沂,Linqi
秀山县,Xiushan
淮南,Huainan
亳州,Haozhou
吉林省,Jilin
西城区,Xichengqu
铜梁区,Tongliangqu
黄浦区,Huangpuqu
塔城,Tacheng
定西,Dingxi
银川,Yinchuan
甘孜州,Ganzizhou
凉山,Liangshan
赣州,Ganzhou
宁东,Liaodong
开州区,Kaizhouqu
北海州,Beihaizhou
嘉定,Jiading
沈阳,Shenyang
定安,Ding_an
长沙,Changsha
大兴,Daxing
兵团第八师石河子市,Shihezi
漯河市,Luohe
西青区,Xiqingqu
怀柔区,Huarouqu
德州,Dezhou
十堰,Shiyan
长宁区,Changningqu
佳木斯,Jiamusi
芜湖,Wuhu
不明地区,Unknown
垫江,Dianjiang
肇庆,Zhaoqing
梁平区,Liangpingqu
广安,Guang_an
锦州,Jinzhou
延安,Yan_an
浦东,Pudong
第七师,The_Seventh_Battalion
呼伦贝尔,Hulunbeier
茂名,Maoming
百色,Baise
海淀区,Haidianqu
房山区,Fangshanqu
江苏省,Jiangsu
顺义区,Shunyiqu
巫山,Wushan
宿州,Suzhou
兰州,Lanzhou
楚雄,Chuxiong
南开区,Nankaiqu
德宏,Dehong
西宁市,Xining
泸州,Luzhou
滁州,Chuzhou
临高,Lingao
长垣县,Changhuan
自贡,Zigong
两江新区,Liangjiangxinqu
枣庄,Zaozhuang
外地来京人员,Non_Residence
兴安盟,Xinganmeng
娄底,Loudi
宁波,Ningbo
高新区,Gaoxinqu
未明确地区,Unknown
宜昌,Yichang
湘西自治州,Xiangxizizhizhou
新乡,Xinxiang
咸宁,Xianning
兵团第九师,The_Ninth_Battlion
杭州,Hangzhou
黄浦,Huangpuqu
河东区,Hedongqu
德阳,Deyang
绍兴,Shaoxing
浦东新区,Pudongxinqu
衡水,Hengshui
琼海,Qionghai
汉中,Hanzhong
澳门,Aomen
北辰区,Beichenqu
滑县,Huaxian
资阳,Ziyang
滨州,Binzhou
云阳,Yunyang
文山,Wenshan
南阳,Nanyang
红河,Honghe
丰台区,Fengtaiqu
松原,Songyuan
忠县,Zhongxian
平凉,Pingliang
泰州,Taizhou
咸阳,Xianyang
石河子,Shihezi
兵团第六师五家渠市,The_Sixth_Battalion
杨浦区,Yangpuqu
合肥,Hefei
贺州,Hezhou
景德镇,Jingdezhen
陵水,Lingshui
青岛,Qingdao
张家口,Zhangjiakou
青海省,Qinghai
普陀区,Puduoqu
内蒙古自治区,Neimenggu
赤峰市松山区,Chifeng
沧州,Cangzhou
北京市,Beijing
武汉来京人员,Non_Residence
河北区,Hebeiqu
西安,Xi_an
晋中,Jinzhong
黑龙江省,Helongjiang
湛江,Zhanjiang
黄石,Huangshi
宝山,Baoshan
徐汇,Xuhui
东方,Dongfang
丽水,Lishui
宁河区,Ninghequ
怀柔,Huairou
锡林郭勒盟锡林浩特,Xilinguole_union
菏泽,Heze
株洲,Zhuzhou
呼伦贝尔满洲里,Hulunbeiermanzhouli
西双版纳,Xishuangbanna
河池,Hechi
澄迈,Chengmai
辽宁省,Liaoning
天水市,Tianshui
潍坊,Weifang
江门,Jiangmen
奉贤区,Fengxian
河南省,Henen
马鞍山,Maanshan
奉节县,Fengjie
怀化,Huaihua
安阳（含滑县）,Anyang
太原,Taiyuan
武清区,Wuqingqu
榆林,Yulin
晋城,Jincheng
丰台,Fengtaiqu
锡林郭勒盟二连浩特,Xilinguole_union
阳泉,Yangquan
歙县,Shexian
门头沟区,Mentougouqu
七台河,Qitaihe
珠海,Zhuhai
乌海,Wuhai
杨凌,Yangling
昆明,Kunming
西藏自治区,Tibet
东莞,Dongguan
巴彦淖尔,Bayannaoer
南岸区,Nananqu
金华,Jinhua
铁岭,Tieling
平凉市,Pingliang
大渡口区,Dadukouqu
河西区,Hexiqu
衡阳,Hengyang
宝山区,Baoshanqu
玉溪,Yuxi
大理,Dali
徐汇区,Xuhuiqu
揭阳,Jieyang
铜仁,Tongren
阜新,Fuxin
焦作,Jiaozuo
上海市,Shanghai
城口县,Chengkou
盐城,Yancheng
连云港,Lianyungang
万宁,Wanning
白银市,Baiyin
温州,Wenzhou
驻马店,Zhumadian
普洱,Puer
永州,Yongzhou
松江,Songjiang
万州区,Wanzhouqu
东城区,Dongchengqu
临沧,Lincang
巴南区,Bananqu
垫江县,Dianjiang
宁东管委会,Ningdong
黑河,Heihe
天水,Tianshui
丰都县,Fengdu
新乡（含长垣）,Xinxiang
淄博,Zibo
郴州,Chenzhou
丰都,Fengdu
琼中县,Qiongzhong
遂宁,Suining
乌海市,Wuhai
阳江,Yangjiang
兵团第五师五家渠市,The_Fifth_Battalion
安顺,Anshun
江西省,Jiangxi
宝鸡,Baoji
吉林,Jilin
广元,Guangyuan
梅州,Meizhou
满洲里,Manzhouli
通州,Tongzhou
龙岩,Longyan
鄂尔多斯鄂托克前旗,Eerduosietuokeqianqi
鄂州,Ezhou
南阳（含邓州）,Nanyang
赤峰市林西县,Chifeng
包头市昆都仑区,Baotou
合川区,Baichuan
临汾市,Linfen
兴安盟乌兰浩特,Xing_anmengwulanhaote
长治,Changzhi
忻州,Xinzhou
潜江,Qianjiang
扬州,Yangzhou
万盛经开区,Wanshengjingkaiqu
四平,Siping
青浦,Qingpu
贵阳,Guiyang
重庆市,Chongqing
承德,Chengde
巫山县,Wushan
潼南区,Tongnan
台州,Taizhou
眉山,Meishan
昌平区,Changpingqu
天津市,Tianjin
兵团第七师,The_Seventh_Battalion
安徽省,Anhui
松江区,Songjiangqu
琼海市,Qionghaishi
南充,Nanchong
金山区,Jinshanqu
六盘水,Liupanshui
第六师,The_Sixth_Battalion
广西壮族自治区,Guangxi
保山,Baoshan
石柱,Shizhu
闵行区,Minhangqu
外地来津,Unknown